상호명,1인 평균 가격,메뉴 수,네이버 업종명
백소정 인하대후문점,,0,
하하돈면,,0,
밥줄까 술주까,,0,
셰프하우스,,0,
육쌈냉면,,0,
고마워감자탕,,0,
천지인,,0,
김충기 꽃삼겹,,0,
KFC인하대점,,0,
BHC치킨 인하대점,,0,
미연팔복반점,,0,
덮수룩,,0,
화채한박스 인하대점,,0,
카페밥엔술,,0,
카페밥엔술,,0,
위플라,,0,
셔호나,,0,
블랙쉽 인하대점,,0,
두찜 인하대점,,0,
조선탕반 인하대직영점,,0,
인하규카츠,,0,
다미향마라탕 인하대점,,0,
우리소 참 한우정육식당,,0,
참새방앗간,,0,
이지레인77,,0,
천냥하우스,,0,
무지개맥주,,0,
맹호수제돈까스,,0,
솥고기67번길,,0,
시장을 여는 사람들,,0,
쭁이네 분식,,0,
달봉당,,0,
인하로,,0,
1987 버거 앤 피자,,0,
셔호나 케밥,,0,
토마토,,0,
피자알볼로 용현점,,0,
커리야,32875,4,인도음식
대패공장,6500,3,"육류,고기요리"
타이스푼,,0,
이치라멘 & 돈가츠,9750,4,음식점
완벽한 김밥,5400,4,김밥
인하 정일품,8200,4,한식
밀플랜비,6250,4,핫도그
피자나라치킨짱,13250,4,피자
토지수산,51250,4,생선회
미로곱창,35450,4,"곱창,막창,양"
닭큐멘터리치킨,11000,4,"치킨,닭강정"
당가(家)네,,0,
꼬꼬방 집으로삼겹 용현점,21250,4,한식
콩불인하대점,12375,4,"육류,고기요리"
미로펍(MIRO PUB),,0,"맥주,호프"
진품전집,,0,
지코바,21000,1,"치킨,닭강정"
신성푸드,,0,기업
일품부대찌개,,0,"찌개,전골"
이모네식당,55833,3,정육식당
오대만족,,0,"족발,보쌈"
고양이눈,8625,4,카레
타코야키,24625,4,이자카야
언힙커피로스터스,5500,2,"카페,디저트"
호식이두마리치킨 용일사거리점,19625,4,"치킨,닭강정"
피클피커스,,0,인테리어소품
맥반석 짝태와 노가리,,0,요리주점
원 피자(won pizza),,0,
공차 (인천인하대점),4133,3,차
수라,28750,4,한식
까사올리브,14875,4,"스파게티,파스타전문"
도도한 불닭발,20000,4,닭발
도어스,40000,1,"맥주,호프"
라쿵푸인하대 본점,10000,3,마라탕
해늘찹쌀순대,9000,4,"순대,순댓국"
샌드킹,5000,1,샌드위치
형제 닭꼬치,3625,4,"일식튀김,꼬치"
고기싸롱 인하대점,12833,3,"육류,고기요리"
베어베리,,0,케이크전문
면식당 인하대점,13775,4,일식당
세븐나잇,,0,"맥주,호프"
부리또정거장,,0,
레오펍,4050,4,피자
오썸 2,,0,성형외과
다우리식당,15750,4,"육류,고기요리"
허수아비돈까스,10000,3,돈가스
아미고II,,0,
아미고,11450,4,피자
지하술집,14650,4,요리주점
롤링파스타(인하대점),8925,4,"스파게티,파스타전문"
진화쿵푸마라탕,16875,4,중식당
현이떡볶이,5000,4,떡볶이
29포차,2900,1,포장마차
이삭토스트 인하대점,3750,4,토스트
탄포포,30000,3,일식당
국민정서,21000,4,요리주점
영종불백,,0,"육류,고기요리"
레커훈스,12875,4,"치킨,닭강정"
동대문엽기떡볶이 인천 인하대점,16000,4,분식
자담치킨 인하대점,25000,4,"치킨,닭강정"
제이더블유(J.W) 사운드,,0,기업
미로곱창,35450,4,"곱창,막창,양"
적성루,6750,4,중식당
주접집,24760425,4,요리주점
지지고 인하대점,5000,4,"도시락,컵밥"
내가찜한닭 인하대점,30500,4,찜닭
오썸 1,,0,부속시설
하노이 별,8750,4,베트남음식
윌유케이크미,6500,4,"카페,디저트"
짜장전설,8500,4,중식당
불아더숯불바베큐,24400,4,"치킨,닭강정"
뼈앓이 감자탕 용현점,15250,4,감자탕
왕돈까스,7250,4,돈가스
행복한 연탄구이,35000,4,돼지고기구이
성화해장국 인하점,8500,4,해장국
삼겹의난,11450,4,돼지고기구이
타슈켄트,5750,4,양식
29포차1,16750,4,포장마차
하이볼 마또,5900,4,퓨전음식
신촌샤브샤브,12250,4,중식당
정직유부 인하대점,6850,4,분식
박지혜모던순대국소머리국밥(인하대점),,0,
봄날은간다,19500,4,바(BAR)
달콤한방,10333,3,"카페,디저트"
한솥도시락인하대후문점,5125,4,"도시락,컵밥"
기영이숯불두마리치킨 인하대점,20125,4,"치킨,닭강정"
순목,19750,4,요리주점
팥지콩지,23000,4,한식
에그드랍 인하대점,6550,4,샌드위치
이모떡즉석떡볶이,1775,4,떡볶이
한창희 천하일면 인하대점,9000,4,국수
시에스타 커피하우스,7100,3,"카페,디저트"
정인곱창,16150,4,"곱창,막창,양"
아재불닭발,23500,4,닭발
운반미,8650,4,베트남음식
히어로보드게임카페 인하대점,,0,보드카페
인하반점,27750,4,중식당
꼴목 인하대점,,0,
탕화쿵푸,15250,4,마라탕
역전할머니 맥주,6450,4,"맥주,호프"
삼삼오오,7000,4,한식
29포차2,10450,4,포장마차
아미고 별관,,0,
스며듦 튀김수육,16650,4,요리주점
최강면옥,18000,1,냉면
춤추는갈매기,25250,4,한식
끝판왕포차,29900,1,포장마차
구름카츠 인하대점,18150,4,돈가스
연화마을,18750,4,"전,빈대떡"
매운애,41000,4,한식
옥이네 해장국,30750,4,해장국
소블링,2000,1,테이크아웃커피
삼청당 인하대점,5900,4,분식
수타5900,11925,4,피자
계속쪼르면,6350,4,종합분식
서주주소,4825,4,"카페,디저트"
경동부추삼겹살,,0,
머루와다래,3875,4,종합분식
가시버시,3600,4,"카페,디저트"
동글동글 인하대점,4166,3,"카페,디저트"
Whale house(웨일 하우스),,0,주택
춘리,11975,4,마라탕
파닭먹는날,22375,4,"치킨,닭강정"
수꼬치더프리미엄,,0,
너울마당,6750,4,한식
더 치킨,9000,4,"치킨,닭강정"
찌개사랑,8750,4,"찌개,전골"
큐슈 울트라 아멘,11050,4,일본식라면
파스타집이야 인하대점,19725,4,"스파게티,파스타전문"
도로시 파스타 연정,9766,3,양식
치즈밥앤드쌀국수,10125,4,한식
하얀감자탕,41500,4,감자탕
용현165,16150,4,포장마차
프레드 피자 미추홀점,20150,4,피자
옐로우피자 미추홀점,21900,4,피자
미식당,9250,4,베트남음식
금희장,5750,4,중식당
당나발포차 인하대점,5400,4,요리주점
곱창다방,12000,1,"곱창,막창,양"
포케품은초밥,13650,4,"초밥,롤"
훗카페(HOOT cafe),2875,4,"카페,디저트"
산츠키,17500,2,이자카야
빽보이피자 인천인하대점,23150,4,피자
신촌설렁탕,11000,4,"곰탕,설렁탕"
돈게스,10125,4,돈가스
단골식당,36500,4,"육류,고기요리"
샐러리아 인하대점,8700,4,"다이어트,샐러드"
경동삼겹살,24800,4,"육류,고기요리"
삭금,32333,3,요리주점
대림국수 인하대점,13000,4,국수
핵밥 인천인하대점,,0,
종로빈대떡,25250,4,한식
투고샐러드 인하대점,8950,4,"다이어트,샐러드"
인하각,12000,4,중식당
청진동해장국,8750,4,해장국
야키토리 니센,13550,4,이자카야
맛사랑,36250,4,"해물,생선요리"
사랑채,15000,2,한식
인하10호관,4400,1,"카페,디저트"
역전우동0410 인하대점,9000,4,"우동,소바"
세구네술집,14233,3,요리주점
쑥이네 포차,24250,4,포장마차
Coppia(코피아),10000,4,이탈리아음식
내동칼국수,5125,4,"칼국수,만두"
기가스,210000,3,양식
앞뜰,41500,4,오리요리
밥은화,8375,4,한식
더문,,0,펜션
뭉크,,0,요리주점
인하 정일품,8200,4,한식
이가네감자탕,32250,4,감자탕
인하대비비큐,25125,4,"치킨,닭강정"
오드룸,12400,4,바(BAR)
스피츠커피,3500,2,"카페,디저트"
개화,66000,4,생선회
와이키키 피자,14000,4,피자
용용불닭발,18250,4,닭발
비원,,0,"떡,한과"
엉터리 무한대패 인하대2호점,,0,
엉터리 무한대패 인하대1호점,,0,
도시톡,5900,1,바(BAR)
